Customer,How satisfied were you with your overall delivery experience at Ali?                    1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,How satisfied were you with the quality of the food at Alis?                             1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,How satisfied were you with the speed of delivery at Alis?                                1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,Was your order accurate? Please respond 1 or 0.,How satisfied were you with your overall delivery experience at Ali?                    1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,How satisfied were you with the quality of the food at Alis?                             1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,How satisfied were you with the speed of delivery at Alis?                                1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,Was your order accurate? Please respond 1 or 0.
174,3,3,3,1,3,3,3,1
175,1,1,1,1,1,1,1,1
176,5,5,5,1,5,5,5,1
177,2,2,2,1,2,2,2,1
178,4,4,4,0,4,4,4,0
179,5,5,5,1,5,5,5,1
180,2,2,2,1,2,2,2,1
181,5,5,5,1,5,5,5,1
182,3,3,3,0,3,3,3,0
183,1,1,1,1,1,1,1,1
184,5,5,5,1,5,5,5,1
185,3,3,3,1,3,3,3,1
186,2,2,2,1,2,2,2,1
187,2,2,2,0,2,2,2,0
188,4,4,4,1,4,4,4,1
189,4,4,4,1,4,4,4,1
190,3,3,3,1,3,3,3,1
191,5,5,5,1,5,5,5,1
192,3,3,3,0,3,3,3,0
193,1,1,1,1,1,1,1,1
194,5,5,5,1,5,5,5,1
195,5,5,5,1,5,5,5,1
196,2,2,2,1,2,2,2,1
197,1,1,1,1,1,1,1,1
198,5,5,5,1,5,5,5,1
199,2,2,2,0,2,2,2,0
200,3,3,3,1,3,3,3,1
201,5,5,5,1,5,5,5,1
202,3,3,3,1,3,3,3,1
203,4,4,4,1,4,4,4,1
204,5,5,5,1,5,5,5,1
205,2,2,2,1,2,2,2,1
206,5,5,5,1,5,5,5,1
207,1,1,1,1,1,1,1,1
208,3,3,3,0,3,3,3,0
209,5,5,5,1,5,5,5,1
210,3,3,3,0,3,3,3,0
211,5,5,5,1,5,5,5,1
212,2,2,2,1,2,2,2,1
213,4,4,4,0,4,4,4,0
214,3,3,3,1,3,3,3,1
215,1,1,1,1,1,1,1,1
216,5,5,5,1,5,5,5,1
217,2,2,2,1,2,2,2,1
218,4,4,4,0,4,4,4,0
219,5,5,5,1,5,5,5,1
220,2,2,2,1,2,2,2,1
221,5,5,5,1,5,5,5,1
222,3,3,3,0,3,3,3,0
223,1,1,1,1,1,1,1,1
224,5,5,5,1,5,5,5,1
225,3,3,3,1,3,3,3,1
226,2,2,2,1,2,2,2,1
227,2,2,2,0,2,2,2,0
228,4,4,4,1,4,4,4,1
229,4,4,4,1,4,4,4,1
230,3,3,3,1,3,3,3,1
231,5,5,5,1,5,5,5,1
232,3,3,3,0,3,3,3,0
233,1,1,1,1,1,1,1,1
234,5,5,5,1,5,5,5,1
235,5,5,5,1,5,5,5,1
236,2,2,2,1,2,2,2,1
237,1,1,1,1,1,1,1,1
238,5,5,5,1,5,5,5,1
239,2,2,2,0,2,2,2,0
240,3,3,3,1,3,3,3,1
241,5,5,5,1,5,5,5,1
242,3,3,3,1,3,3,3,1
243,4,4,4,1,4,4,4,1
244,5,5,5,1,5,5,5,1
245,2,2,2,1,2,2,2,1
246,5,5,5,1,5,5,5,1
247,1,1,1,1,1,1,1,1
248,3,3,3,0,3,3,3,0
249,5,5,5,1,5,5,5,1
250,3,3,3,0,3,3,3,0
251,5,5,5,1,5,5,5,1
252,2,2,2,1,2,2,2,1
253,4,4,4,0,4,4,4,0
254,3,3,3,1,3,3,3,1
255,1,1,1,1,1,1,1,1
256,5,5,5,1,5,5,5,1
257,2,2,2,1,2,2,2,1
258,4,4,4,0,4,4,4,0
259,5,5,5,1,5,5,5,1
260,2,2,2,1,2,2,2,1
261,5,5,5,1,5,5,5,1
262,3,3,3,0,3,3,3,0
263,1,1,1,1,1,1,1,1
264,5,5,5,1,5,5,5,1
265,3,3,3,1,3,3,3,1
266,2,2,2,1,2,2,2,1
267,2,2,2,0,2,2,2,0
268,4,4,4,1,4,4,4,1
269,4,4,4,1,4,4,4,1
270,3,3,3,1,3,3,3,1
271,5,5,5,1,5,5,5,1
272,3,3,3,0,3,3,3,0
273,1,1,1,1,1,1,1,1
274,5,5,5,1,5,5,5,1
275,5,5,5,1,5,5,5,1
276,2,2,2,1,2,2,2,1
277,1,1,1,1,1,1,1,1
278,5,5,5,1,5,5,5,1
279,2,2,2,0,2,2,2,0
280,3,3,3,1,3,3,3,1
281,5,5,5,1,5,5,5,1
282,3,3,3,1,3,3,3,1
283,4,4,4,1,4,4,4,1
284,5,5,5,1,5,5,5,1
285,2,2,2,1,2,2,2,1
286,5,5,5,1,5,5,5,1
287,1,1,1,1,1,1,1,1
288,3,3,3,0,3,3,3,0
289,5,5,5,1,5,5,5,1
290,3,3,3,0,3,3,3,0
291,5,5,5,1,5,5,5,1
292,2,2,2,1,2,2,2,1
293,4,4,4,0,4,4,4,0
294,3,3,3,1,3,3,3,1
295,1,1,1,1,1,1,1,1
296,5,5,5,1,5,5,5,1
297,2,2,2,1,2,2,2,1
298,4,4,4,0,4,4,4,0
299,5,5,5,1,5,5,5,1
300,2,2,2,1,2,2,2,1
301,5,5,5,1,5,5,5,1
302,3,3,3,0,3,3,3,0
303,1,1,1,1,1,1,1,1
304,5,5,5,1,5,5,5,1
305,3,3,3,1,3,3,3,1
306,2,2,2,1,2,2,2,1
307,2,2,2,0,2,2,2,0
308,4,4,4,1,4,4,4,1
309,4,4,4,1,4,4,4,1
310,3,3,3,1,3,3,3,1
311,5,5,5,1,5,5,5,1
312,3,3,3,0,3,3,3,0
313,1,1,1,1,1,1,1,1
314,5,5,5,1,5,5,5,1
315,5,5,5,1,5,5,5,1
316,2,2,2,1,2,2,2,1
317,1,1,1,1,1,1,1,1
318,5,5,5,1,5,5,5,1
319,2,2,2,0,2,2,2,0
320,3,3,3,1,3,3,3,1
321,3,5,5,1,,5,5,1
322,3,3,3,1,,3,3,1
323,3,4,4,1,,4,4,1
324,3,5,5,1,,5,5,1
325,3,2,2,1,,2,2,1
326,3,5,5,1,,5,5,1
327,3,1,1,1,,1,1,1
328,3,3,3,0,,3,3,0
329,3,5,5,1,,5,5,1
330,3,3,3,0,,3,3,0
331,3,5,5,1,,5,5,1
332,3,2,2,1,,2,2,1
333,3,4,4,0,,4,4,0
334,3,3,3,1,,3,3,1
335,3,1,1,1,,1,1,1
336,3,5,5,1,,5,5,1
337,3,2,2,1,,2,2,1
338,3,4,4,0,,4,4,0
339,3,5,5,1,,5,5,1
340,3,2,2,1,,2,2,1
341,3,5,5,1,,5,5,1
342,3,3,3,0,,3,3,0
343,3,1,1,1,,1,1,1
344,5,5,5,1,5,5,5,1
345,3,3,3,1,3,3,3,1
346,4,2,2,1,4,2,2,1
347,5,2,2,0,5,2,2,0
348,2,4,4,1,2,4,4,1
349,5,4,4,1,5,4,4,1
350,1,3,3,1,1,3,3,1
351,3,5,5,1,3,5,5,1
352,5,3,3,0,5,3,3,0
353,3,1,1,1,3,1,1,1
354,5,5,5,1,5,5,5,1
355,2,5,5,1,2,5,5,1
356,4,2,2,1,4,2,2,1
357,3,1,1,1,3,1,1,1
358,1,5,5,1,1,5,5,1
359,5,2,2,0,5,2,2,0
360,2,3,3,1,2,3,3,1
361,4,3,3,1,4,,,1
362,5,5,5,1,5,5,5,1
363,2,3,3,1,2,3,3,1
364,5,4,4,1,5,4,4,1
365,3,5,5,1,3,5,5,1
366,1,2,2,1,1,2,2,1
367,5,5,5,1,5,5,5,1
368,3,1,1,0,3,1,1,0
369,2,3,3,1,2,3,3,1
370,2,5,5,0,2,5,5,0
371,4,3,3,1,4,3,3,1
372,4,5,5,1,4,5,5,1
373,3,2,2,0,3,2,2,0
374,5,4,4,1,5,4,4,1
375,3,3,3,1,3,3,3,1
376,1,1,1,1,1,1,1,1
377,5,5,5,1,5,5,5,1
378,5,2,2,0,5,2,2,0
379,2,4,4,1,2,4,4,1
380,1,5,5,1,1,5,5,1
381,5,2,2,1,5,2,2,1
382,2,5,5,0,2,5,5,0
383,3,3,3,1,3,3,3,1
384,5,1,1,1,5,1,1,1
385,3,5,5,1,3,5,5,1
386,4,3,3,1,4,3,3,1
387,5,2,2,0,5,2,2,0
388,2,2,2,1,2,2,2,1
389,5,4,4,1,5,4,4,1
390,1,4,4,1,1,4,4,1
391,3,3,3,1,3,3,3,1
392,5,5,5,0,5,5,5,0
393,3,3,3,1,3,3,3,1
394,5,1,1,1,5,1,1,1
395,2,5,5,1,2,5,5,1
396,4,5,5,1,4,5,5,1
397,3,2,2,1,3,2,2,1
398,1,1,1,1,1,1,1,1
399,5,5,5,0,5,5,5,0
400,2,2,2,1,2,2,2,1
401,4,3,3,1,4,3,3,1
402,5,5,5,1,5,5,5,1
403,2,3,3,1,2,3,3,1
404,5,4,4,1,5,4,4,1
405,3,5,5,1,3,5,5,1
406,1,2,2,1,1,2,2,1
407,5,5,5,1,5,5,5,1
408,3,1,1,0,3,1,1,0
409,2,3,3,1,2,3,3,1
410,2,5,5,0,2,5,5,0
411,4,3,3,1,4,3,3,1
412,4,5,5,1,4,5,5,1
413,3,2,2,0,3,2,2,0
414,5,4,4,1,5,4,4,1
415,3,3,3,1,3,3,3,1
416,1,1,1,1,1,1,1,1
417,5,5,5,1,5,5,5,1
418,5,2,2,0,5,2,2,0
419,2,4,4,1,2,4,4,1
420,1,5,5,1,1,5,5,1
421,5,2,2,1,5,2,2,1
422,2,5,5,0,2,5,5,0
423,3,3,3,1,3,3,3,1
424,5,1,1,1,5,1,1,1
425,3,5,5,1,3,5,5,1
426,4,3,3,1,4,3,3,1
427,5,2,2,0,5,2,2,0
428,2,2,2,1,2,2,2,1
429,5,4,4,1,5,4,4,1
430,1,4,4,1,1,4,4,1
431,3,3,3,1,3,3,3,1
432,5,5,5,0,5,5,5,0
433,3,3,3,1,3,3,3,1
434,5,1,1,1,5,1,1,1
435,2,5,5,1,2,5,5,1
436,4,5,5,1,4,5,5,1
437,3,2,2,1,3,2,2,1
438,1,1,1,1,1,1,1,1
439,5,5,5,0,5,5,5,0
440,2,2,2,1,2,2,2,1
441,4,3,3,1,4,3,3,1
442,5,5,5,1,5,5,5,1
443,2,3,3,1,2,3,3,1
444,5,4,4,1,5,4,4,1
445,3,5,5,1,3,5,5,1
446,1,2,2,1,1,2,2,1
447,5,5,5,1,5,5,5,1
448,3,1,1,0,3,1,1,0
449,2,3,3,1,2,3,3,1
450,2,5,5,0,2,5,5,0
451,4,3,3,1,4,3,3,1
452,4,5,5,1,4,5,5,1
453,3,2,2,0,3,2,2,0
454,5,4,4,1,5,4,4,1
455,3,3,3,1,3,3,3,1
456,1,1,1,1,1,1,1,1
457,5,5,5,1,5,5,5,1
458,5,2,2,0,5,2,2,0
459,2,4,4,1,2,4,4,1
460,1,5,5,1,1,5,5,1
461,5,2,2,1,5,2,2,1
462,2,5,5,0,2,5,5,0
463,3,3,3,1,3,3,3,1
464,5,1,1,1,5,1,1,1
465,3,5,5,1,3,5,5,1
466,4,3,3,1,4,3,3,1
467,5,2,2,0,5,2,2,0
468,2,2,2,1,2,2,2,1
469,5,4,4,1,5,4,4,1
470,1,4,4,1,1,4,4,1
471,3,3,3,1,3,3,3,1
472,5,5,5,0,5,5,5,0
473,3,3,3,1,3,3,3,1
474,5,1,1,1,5,1,1,1
475,2,5,5,1,2,5,5,1
476,4,5,5,1,4,5,5,1
477,3,2,2,1,3,2,2,1
478,1,1,1,1,1,1,1,1
479,5,5,5,0,5,5,5,0
480,2,2,2,1,2,2,2,1
481,4,3,3,1,4,3,3,1
482,5,5,5,1,5,5,5,1
483,2,3,3,1,2,3,3,1
484,5,4,4,1,5,4,4,1
485,3,5,5,1,3,5,5,1
486,1,2,2,1,1,2,2,1
487,5,5,5,1,5,5,5,1
488,3,1,1,0,3,1,1,0
489,2,3,3,1,2,3,3,1
490,2,5,5,0,2,5,5,0
491,4,3,3,1,4,3,3,1
492,4,5,5,1,4,5,5,1
493,3,2,2,0,3,2,2,0
494,5,4,4,1,5,4,4,1
495,3,3,3,1,3,3,3,1
496,1,1,1,1,1,1,1,1
497,5,5,5,1,5,5,5,1
498,5,2,2,0,5,2,2,0
499,2,4,4,1,2,4,4,1
500,1,5,5,1,1,5,5,1
501,5,2,2,1,5,2,2,1
502,2,5,5,0,2,5,5,0
503,3,3,3,1,3,3,3,1
504,3,1,1,1,,1,1,1
505,5,5,5,1,5,5,5,1
506,3,3,3,1,3,3,3,1
507,4,2,2,0,4,2,2,0
508,5,2,2,1,5,2,2,1
509,2,4,4,1,2,4,4,1
510,5,4,4,1,5,4,4,1
511,1,3,3,1,1,3,3,1
512,3,5,5,0,3,5,5,0
513,5,3,3,1,5,3,3,1
514,3,1,1,1,3,1,1,1
515,5,5,5,1,5,5,5,1
516,2,5,5,1,2,5,5,1
517,4,2,2,1,4,2,2,1
518,3,1,1,1,3,1,1,1
519,1,5,5,0,1,5,5,0
520,5,2,2,1,5,2,2,1
521,2,3,3,1,2,3,3,1
522,4,3,3,1,4,,,1
523,5,3,3,1,5,,,1
524,2,3,3,1,2,,,1
525,5,3,3,1,5,,,1
526,3,3,3,1,3,,,1
527,1,3,3,1,1,,,1
528,5,3,3,0,5,,,0
529,3,3,3,1,3,,,1
530,2,3,3,0,2,,,0
531,2,3,3,1,2,,,1
532,4,3,3,1,4,,,1
533,4,3,3,0,4,,,0
534,3,3,5,1,3,,5,1
535,5,3,3,1,5,,3,1
536,3,5,4,1,3,5,4,1
537,1,3,5,1,1,3,5,1
538,5,4,2,0,5,4,2,0
539,5,5,5,1,5,5,5,1
540,2,2,1,1,2,2,1,1
541,1,5,3,1,1,5,3,1
542,5,1,5,0,5,1,5,0
543,2,3,3,1,2,3,3,1
544,3,5,5,1,3,5,5,1
545,5,3,2,1,5,3,2,1
546,3,5,4,1,3,5,4,1
547,4,2,3,0,4,2,3,0
548,5,4,1,1,5,4,1,1
549,2,3,5,1,2,3,5,1
550,5,1,2,1,5,1,2,1
551,1,5,4,1,1,5,4,1
552,3,2,5,0,3,2,5,0
553,5,4,2,1,5,4,2,1
554,3,5,5,1,3,5,5,1
555,5,2,3,1,5,2,3,1
556,2,5,1,1,2,5,1,1
557,4,3,5,1,4,3,5,1
558,3,1,3,1,3,1,3,1
559,1,5,2,0,1,5,2,0
560,5,3,2,1,5,3,2,1
561,2,2,4,1,2,2,4,1
562,4,2,4,1,4,2,4,1
563,5,4,3,1,5,4,3,1
564,2,4,5,1,2,4,5,1
565,5,3,3,1,5,3,3,1
566,3,5,1,1,3,5,1,1
567,1,3,5,1,1,3,5,1
568,5,1,5,0,5,1,5,0
569,3,5,2,1,3,5,2,1
570,2,5,1,0,2,5,1,0
571,2,2,5,1,2,2,5,1
572,4,1,2,1,4,1,2,1
573,4,5,3,0,4,5,3,0
574,3,2,5,1,3,2,5,1
575,5,3,3,1,5,3,3,1
576,3,5,4,1,3,5,4,1
577,1,3,5,1,1,3,5,1
578,5,4,2,0,5,4,2,0
579,5,5,5,1,5,5,5,1
580,2,2,1,1,2,2,1,1
581,1,5,3,1,1,5,3,1
582,5,1,5,0,5,1,5,0
583,2,3,3,1,2,3,3,1
584,3,5,5,1,3,5,5,1
585,5,3,2,1,5,3,2,1
586,3,5,4,1,3,5,4,1
587,4,2,3,0,4,2,3,0
588,5,4,1,1,5,4,1,1
589,2,3,5,1,2,3,5,1
590,5,1,2,1,5,1,2,1
591,1,5,4,1,1,5,4,1
592,3,2,5,0,3,2,5,0
593,5,4,2,1,5,4,2,1
594,3,5,5,1,3,5,5,1
595,5,2,3,1,5,2,3,1
596,2,5,1,1,2,5,1,1
597,4,3,5,1,4,3,5,1
598,3,1,3,1,3,1,3,1
599,1,5,2,0,1,5,2,0
600,5,3,2,1,5,3,2,1
601,2,2,4,1,2,2,4,1
602,4,2,4,1,4,2,4,1
603,5,4,3,1,5,4,3,1
604,2,4,5,1,2,4,5,1
605,5,3,3,1,5,3,3,1
606,3,5,1,1,3,5,1,1
607,1,3,5,1,1,3,5,1
608,5,1,5,0,5,1,5,0
609,3,5,2,1,3,5,2,1
610,2,5,1,0,2,5,1,0
611,2,2,5,1,2,2,5,1
612,4,1,2,1,4,1,2,1
613,4,5,3,0,4,5,3,0
614,3,2,5,1,3,2,5,1
615,5,3,3,1,5,3,3,1
616,3,5,4,1,3,5,4,1
617,1,3,5,1,1,3,5,1
618,5,4,2,0,5,4,2,0
619,5,5,5,1,5,5,5,1
620,2,2,1,1,2,2,1,1
621,1,5,3,1,1,5,3,1
622,5,1,5,0,5,1,5,0
623,2,3,3,1,2,3,3,1
624,3,5,5,1,3,5,5,1
625,5,3,2,1,5,3,2,1
626,3,5,4,1,3,5,4,1
627,4,2,3,0,4,2,3,0
628,5,4,1,1,5,4,1,1
629,2,3,5,1,2,3,5,1
630,5,1,2,1,5,1,2,1
631,1,5,4,1,1,5,4,1
632,3,2,5,0,3,2,5,0
633,5,4,2,1,5,4,2,1
634,3,5,5,1,3,5,5,1
635,5,2,3,1,5,2,3,1
636,2,5,1,1,2,5,1,1
637,4,3,5,1,4,3,5,1
638,3,1,3,1,3,1,3,1
639,1,5,2,0,1,5,2,0
640,5,3,2,1,5,3,2,1
641,2,2,4,1,2,2,4,1
642,4,2,4,1,4,2,4,1
643,5,4,3,1,5,4,3,1
644,2,4,5,1,2,4,5,1
645,5,3,3,1,5,3,3,1
646,3,5,1,1,3,5,1,1
647,1,3,5,1,1,3,5,1
648,5,1,5,0,5,1,5,0
649,3,5,2,1,3,5,2,1
650,2,5,1,0,2,5,1,0
651,2,2,5,1,2,2,5,1
652,4,1,2,1,4,1,2,1
653,4,5,3,0,4,5,3,0
654,3,2,5,1,3,2,5,1
655,5,3,3,1,5,3,3,1
656,3,5,4,1,3,5,4,1
657,1,3,5,1,1,3,5,1
658,5,4,2,0,5,4,2,0
659,5,5,5,1,5,5,5,1
660,2,2,1,1,2,2,1,1
661,1,5,3,1,1,5,3,1
662,5,1,5,0,5,1,5,0
663,2,3,3,1,2,3,3,1
664,3,5,5,1,3,5,5,1
665,3,3,2,1,,3,2,1
666,5,5,4,1,5,5,4,1
667,3,2,3,0,3,2,3,0
668,4,4,1,1,4,4,1,1
669,5,3,5,1,5,3,5,1
670,2,1,2,1,2,1,2,1
671,5,5,4,1,5,5,4,1
672,1,2,5,0,1,2,5,0
673,3,4,2,1,3,4,2,1
674,5,5,5,1,5,5,5,1
675,3,2,3,1,3,2,3,1
676,5,5,1,1,5,5,1,1
677,2,3,5,1,2,3,5,1
678,4,1,3,1,4,1,3,1
679,3,5,2,0,3,5,2,0
680,1,3,2,1,1,3,2,1
681,5,2,4,1,5,2,4,1
682,2,2,4,1,2,2,4,1
683,4,4,3,1,4,4,3,1
684,5,4,5,1,5,4,5,1
685,2,3,3,1,2,3,3,1
686,5,5,1,1,5,5,1,1
687,3,3,5,1,3,3,5,1
688,1,1,5,0,1,1,5,0
689,5,5,2,1,5,5,2,1
690,3,5,1,0,3,5,1,0
691,2,2,5,1,2,2,5,1
692,2,1,2,1,2,1,2,1
693,4,5,3,0,4,5,3,0
694,4,2,3,1,4,2,,1
695,3,3,3,1,3,3,,1
696,5,3,3,1,5,,,1
697,3,3,3,1,3,,,1
698,1,3,3,0,1,,,0
699,5,3,3,1,5,,,1
700,5,3,4,1,5,3,4,1
701,3,4,3,1,3,4,3,1
702,4,5,2,0,4,5,2,0
703,5,3,4,1,5,3,4,1
704,2,5,1,1,2,5,1,1
705,5,2,5,1,5,2,5,1
706,1,4,3,1,1,4,3,1
707,3,3,2,0,3,3,2,0
708,5,1,3,1,5,1,3,1
709,3,5,3,1,3,5,3,1
710,5,3,4,1,5,3,4,1
711,2,2,5,1,2,2,5,1
712,4,5,3,0,4,5,3,0
713,3,4,2,1,3,4,2,1
714,1,5,1,1,1,5,1,1
715,5,4,5,1,5,4,5,1
716,2,2,4,1,2,2,4,1
717,4,5,4,1,4,5,4,1
718,5,1,5,1,5,1,5,1
719,2,4,4,0,2,4,4,0
720,5,5,1,1,5,5,1,1
721,3,3,3,1,3,3,3,1
722,1,5,5,1,1,5,5,1
723,5,4,4,1,5,4,4,1
724,3,3,2,1,3,3,2,1
725,2,3,4,1,2,3,4,1
726,2,2,3,1,2,2,3,1
727,4,5,4,1,4,5,4,1
728,4,1,2,0,4,1,2,0
729,3,4,5,1,3,4,5,1
730,5,5,4,0,5,5,4,0
731,3,3,4,1,3,3,4,1
732,1,2,5,1,1,2,5,1
733,5,5,1,0,5,5,1,0
734,5,1,2,1,5,1,2,1
735,2,3,3,1,2,3,3,1
736,1,5,4,1,1,5,4,1
737,5,4,3,1,5,4,3,1
738,2,2,4,0,2,2,4,0
739,3,3,2,1,3,3,2,1
740,5,5,5,1,5,5,5,1
741,3,3,3,1,3,3,3,1
